Time,Position
0.802,0.070916198
0.803,0.077532713
0.804,0.084134866
0.805,0.090722011
0.806,0.097293504
0.807,0.103848705
0.808,0.110386974
0.809,0.116907675
0.81,0.123410174
0.811,0.129893838
0.812,0.13635804
0.813,0.142802152
0.814,0.149225549
0.815,0.155627612
0.816,0.162007721
0.817,0.168365261
0.818,0.174699618
0.819,0.181010183
0.82,0.187296349
0.821,0.193557511
0.822,0.19979307
0.823,0.206002427
0.824,0.212184988
0.825,0.218340162
0.826,0.224467361
0.827,0.230566
0.828,0.236635499
0.829,0.24267528
0.83,0.248684769
0.831,0.254663395
0.832,0.260610593
0.833,0.266525798
0.834,0.272408452
0.835,0.278258
0.836,0.284073889
0.837,0.289855573
0.838,0.295602506
0.839,0.301314151
0.84,0.30698997
0.841,0.312629433
0.842,0.318232012
0.843,0.323797184
0.844,0.32932443
0.845,0.334813237
0.846,0.340263093
0.847,0.345673492
0.848,0.351043935
0.849,0.356373923
0.85,0.361662965
0.851,0.366910573
0.852,0.372116263
0.853,0.377279557
0.854,0.382399982
0.855,0.387477068
0.856,0.392510351
0.857,0.397499373
0.858,0.402443678
0.859,0.407342818
0.86,0.412196347
0.861,0.417003827
0.862,0.421764823
0.863,0.426478905
0.864,0.431145649
0.865,0.435764636
0.866,0.440335452
0.867,0.444857688
0.868,0.449330941
0.869,0.453754812
0.87,0.45812891
0.871,0.462452846
0.872,0.466726238
0.873,0.47094871
0.874,0.475119891
0.875,0.479239416
0.876,0.483306923
0.877,0.487322059
0.878,0.491284474
0.879,0.495193825
0.88,0.499049775
0.881,0.50285199
0.882,0.506600146
0.883,0.510293921
0.884,0.513933001
0.885,0.517517077
0.886,0.521045844
0.887,0.524519007
0.888,0.527936273
0.889,0.531297357
0.89,0.534601979
0.891,0.537849865
0.892,0.541040746
0.893,0.544174362
0.894,0.547250456
0.895,0.550268778
0.896,0.553229085
0.897,0.556131138
0.898,0.558974705
0.899,0.561759561
0.9,0.564485486
0.901,0.567152267
0.902,0.569759697
0.903,0.572307573
0.904,0.574795701
0.905,0.577223891
0.906,0.579591962
0.907,0.581899735
0.908,0.584147042
0.909,0.586333718
0.91,0.588459604
0.911,0.59052455
0.912,0.592528409
0.913,0.594471042
0.914,0.596352318
0.915,0.598172108
0.916,0.599930292
0.917,0.601626756
0.918,0.603261393
0.919,0.604834101
0.92,0.606344783
0.921,0.607793353
0.922,0.609179726
0.923,0.610503826
0.924,0.611765583
0.925,0.612964934
0.926,0.614101821
0.927,0.615176192
0.928,0.616188004
0.929,0.617137216
0.93,0.618023797
0.931,0.618847721
0.932,0.619608969
0.933,0.620307526
0.934,0.620943386
0.935,0.621516547
0.936,0.622027015
0.937,0.622474803
0.938,0.622859926
0.939,0.623182411
0.94,0.623442286
0.941,0.62363959
0.942,0.623774364
0.943,0.623846657
0.944,0.623856525
0.945,0.623804029
0.946,0.623689238
0.947,0.623512223
0.948,0.623273066
0.949,0.622971852
0.95,0.622608674
0.951,0.62218363
0.952,0.621696824
0.953,0.621148366
0.954,0.620538373
0.955,0.619866968
0.956,0.619134278
0.957,0.618340439
0.958,0.617485591
0.959,0.61656988
0.96,0.615593458
0.961,0.614556484
0.962,0.613459123
0.963,0.612301543
0.964,0.611083922
0.965,0.60980644
0.966,0.608469285
0.967,0.607072651
0.968,0.605616736
0.969,0.604101746
0.97,0.60252789
0.971,0.600895385
0.972,0.599204453
0.973,0.597455321
0.974,0.595648222
0.975,0.593783395
0.976,0.591861084
0.977,0.589881537
0.978,0.587845012
0.979,0.585751767
0.98,0.583602069
0.981,0.581396188
0.982,0.579134403
0.983,0.576816994
0.984,0.57444425
0.985,0.572016461
0.986,0.569533927
0.987,0.566996949
0.988,0.564405836
0.989,0.561760901
0.99,0.559062462
0.991,0.556310843
0.992,0.55350637
0.993,0.550649379
0.994,0.547740206
0.995,0.544779194
0.996,0.541766692
0.997,0.538703052
0.998,0.535588631
0.999,0.532423791
1,0.529208899
1.001,0.525944326
1.002,0.522630449
1.003,0.519267647
1.004,0.515856306
1.005,0.512396815
1.006,0.508889569
1.007,0.505334965
1.008,0.501733405
1.009,0.498085298
1.01,0.494391054
1.011,0.490651088
1.012,0.48686582
1.013,0.483035674
1.014,0.479161076
1.015,0.47524246
1.016,0.471280261
1.017,0.467274917
1.018,0.463226873
1.019,0.459136576
1.02,0.455004477
1.021,0.450831031
1.022,0.446616695
1.023,0.442361933
1.024,0.438067211
1.025,0.433732996
1.026,0.429359762
1.027,0.424947985
1.028,0.420498144
1.029,0.416010723
1.03,0.411486207
1.031,0.406925085
1.032,0.40232785
1.033,0.397694997
1.034,0.393027026
1.035,0.388324438
1.036,0.383587737
1.037,0.378817431
1.038,0.374014031
1.039,0.369178049
1.04,0.364310002
1.041,0.359410408
1.042,0.354479788
1.043,0.349518666
1.044,0.344527569
1.045,0.339507026
1.046,0.334457567
1.047,0.329379726
1.048,0.324274039
1.049,0.319141044
1.05,0.313981282
1.051,0.308795295
1.052,0.303583628
1.053,0.298346826
1.054,0.293085439
1.055,0.287800018
1.056,0.282491113
1.057,0.277159281
1.058,0.271805075
1.059,0.266429055
1.06,0.261031778
1.061,0.255613806
1.062,0.250175701
1.063,0.244718027
1.064,0.239241348
1.065,0.233746231
1.066,0.228233243
1.067,0.222702955
1.068,0.217155934
1.069,0.211592754
1.07,0.206013985
1.071,0.200420201
1.072,0.194811977
1.073,0.189189886
1.074,0.183554506
1.075,0.177906412
1.076,0.172246182
1.077,0.166574393
1.078,0.160891624
1.079,0.155198454
1.08,0.149495463
1.081,0.143783229
1.082,0.138062334
1.083,0.132333358
1.084,0.126596881
1.085,0.120853485
1.086,0.11510375
1.087,0.109348257
1.088,0.103587588
1.089,0.097822323
1.09,0.092053043
1.091,0.086280329
1.092,0.080504761
1.093,0.074726919
1.094,0.068947384
1.095,0.063166734
1.096,0.057385548
1.097,0.051604404
1.098,0.045823882
1.099,0.040044556
1.1,0.034267005
1.101,0.028491804
1.102,0.022719527
1.103,0.016950748
1.104,0.011186042
1.105,0.005425979
1.106,-0.000328869
1.107,-0.006077932
1.108,-0.011820642
1.109,-0.01755643
1.11,-0.02328473
1.111,-0.029004978
1.112,-0.03471661
1.113,-0.040419062
1.114,-0.046111775
1.115,-0.05179419
1.116,-0.057465748
1.117,-0.063125894
1.118,-0.068774073
1.119,-0.074409733
1.12,-0.080032323
1.121,-0.085641294
1.122,-0.091236099
1.123,-0.096816193
1.124,-0.102381033
1.125,-0.107930078
1.126,-0.113462789
1.127,-0.118978629
1.128,-0.124477065
1.129,-0.129957564
1.13,-0.135419596
1.131,-0.140862633
1.132,-0.146286151
1.133,-0.151689627
1.134,-0.157072542
1.135,-0.162434376
1.136,-0.167774616
1.137,-0.17309275
1.138,-0.178388268
1.139,-0.183660663
1.14,-0.188909431
1.141,-0.194134073
1.142,-0.199334088
1.143,-0.204508983
1.144,-0.209658265
1.145,-0.214781445
1.146,-0.219878038
1.147,-0.224947559
1.148,-0.229989531
1.149,-0.235003475
1.15,-0.23998892
1.151,-0.244945395
1.152,-0.249872434
1.153,-0.254769574
1.154,-0.259636355
1.155,-0.264472322
1.156,-0.269277021
1.157,-0.274050004
1.158,-0.278790825
1.159,-0.283499042
1.16,-0.288174219
1.161,-0.29281592
1.162,-0.297423714
1.163,-0.301997176
1.164,-0.306535882
1.165,-0.311039414
1.166,-0.315507357
1.167,-0.319939299
1.168,-0.324334834
1.169,-0.328693558
1.17,-0.333015073
1.171,-0.337298984
1.172,-0.341544901
1.173,-0.345752437
1.174,-0.349921209
1.175,-0.354050841
1.176,-0.358140958
1.177,-0.362191191
1.178,-0.366201175
1.179,-0.37017055
1.18,-0.374098959
1.181,-0.37798605
1.182,-0.381831477
1.183,-0.385634897
1.184,-0.389395972
1.185,-0.393114367
1.186,-0.396789755
1.187,-0.40042181
1.188,-0.404010213
1.189,-0.407554648
1.19,-0.411054807
1.191,-0.414510382
1.192,-0.417921074
1.193,-0.421286586
1.194,-0.424606626
1.195,-0.42788091
1.196,-0.431109154
1.197,-0.434291083
1.198,-0.437426424
1.199,-0.440514911
1.2,-0.443556282
1.201,-0.44655028
1.202,-0.449496653
1.203,-0.452395155
1.204,-0.455245543
1.205,-0.45804758
1.206,-0.460801035
1.207,-0.463505682
1.208,-0.466161299
1.209,-0.468767668
1.21,-0.47132458
1.211,-0.473831827
1.212,-0.47628921
1.213,-0.478696531
1.214,-0.481053601
1.215,-0.483360234
1.216,-0.485616251
1.217,-0.487821475
1.218,-0.489975738
1.219,-0.492078875
1.22,-0.494130727
1.221,-0.496131141
1.222,-0.498079967
1.223,-0.499977062
1.224,-0.501822289
1.225,-0.503615515
1.226,-0.505356613
1.227,-0.507045461
1.228,-0.508681941
1.229,-0.510265944
1.23,-0.511797363
1.231,-0.513276097
1.232,-0.514702052
1.233,-0.516075138
